xdata,y1,y2,y3
1,0.888458366,0.213706117,0.491956496
2,0.568174467,0.613639557,0.172276377
3,0.560249689,0.681635664,0.512377083
4,0.155284574,0.749504443,0.499559699
5,0.787963387,0.218357369,0.229377961
6,0.716165857,0.83032344,0.211901828
7,0.870866146,0.076150784,0.676586663
8,0.696751703,0.735121431,0.729764359
9,0.429472892,0.23594083,0.704726269
10,0.414163966,0.682955406,0.367195963
11,0.978693491,0.59200144,0.051298553
12,0.776410824,0.164070584,0.29474843
13,0.935414189,0.351071439,0.652392845
14,0.92015285,0.735583591,0.570263659
15,0.364472,0.089493528,0.530262772
16,0.769253995,0.26652379,0.158007023
17,0.66539313,0.352657647,0.066170422
18,0.77536458,0.962958613,0.935554291
19,0.838467719,0.98465766,0.893002629
20,0.154287629,0.077718864,0.78838802
